id,name,clubNumber,district,country,city,website,meetingDay,localTime,timezone,durationMin,frequency,format,language,zoomLink,contactName,contactEmail,guestPolicy,guestsMaySpeak,visitorsMayTakeRoles,specialty,classification,activity,notes,sourceUrl,verified,lastVerified,verificationLevel,region
"west-pines-fl","West Pines Toastmasters Club","06003592","D47","United States","Pembroke Pines","https://westpinestoastmasters.toastmost.org/","Wednesday","18:30","America/New_York","60","weekly","hybrid","English","","","","","","","general","PRACTICE","","City/format/club# cross-verified via official D47 club list (Area 12/Division A); day/time via toastmost.org directory.","https://www.toastmastersd47.org/district-47-clubs/","true","2026-09-25","district","United States"
"bold-communicators-fl","Bold Communicators Club","04555744","D47","United States","Doral","https://4555744.toastmastersclubs.org","Monday","19:00","America/New_York","60","1st Monday","online","English","","","","","","","general","PRACTICE","","City/format/club# cross-verified via official D47 club list (Area 52/Division E); day/time via toastmost.org directory.","https://www.toastmastersd47.org/district-47-clubs/","true","2026-09-25","district","United States"
"phoenix-toastmasters-az","Phoenix Toastmasters","00003900","D3","United States","Phoenix","https://phoenixaz.toastmastersclubs.org","Thursday","12:10","America/Phoenix","60","weekly","hybrid","English","","","","Open to all interested parties; online attendance allowed","","","general","PRACTICE","","Area B01.","https://www.toastmasters.org/Find-a-Club/00003900-phoenix-toastmasters","true","2026-09-25","official","United States"
"boston-toastmasters-ma","Boston Toastmasters","00001074","","United States","Boston","https://bostontoastmasters.org","Tuesday","18:15","America/New_York","60","weekly","online","English","","","","Online, all guests welcome; NO WALK-INS - register in advance","","","general","PRACTICE","","Area G75.","https://www.toastmasters.org/Find-a-Club/00001074-boston-toastmasters","true","2026-09-25","official","United States"
"speakeasy-downtown-dc","Speakeasy in Downtown DC","01365958","","United States","Washington","http://uspeakeasy.toastmastersclubs.org/","Monday","19:00","America/New_York","60","2nd & 4th Monday","hybrid","English","","","","","","","general","PRACTICE","","Area D41.","https://www.toastmasters.org/Find-a-Club/1365958-1365958","true","2026-09-25","official","United States"
"federal-toastmasters-dc","Federal Toastmasters Club","00001037","","United States","Washington","http://1037.toastmastersclubs.org/","Wednesday","12:00","America/New_York","60","weekly","hybrid","English","","","","Accommodates remote participation for those unable to attend in person","","","general","PRACTICE","","Page listed 'District 220, Area F62' verbatim (unusual district code, unverified).","https://www.toastmasters.org/Find-a-Club/00001037-federal-toastmasters-club","true","2026-09-25","official","United States"
"chicago-toastmasters-il","Chicago Toastmasters","00003559","D30","United States","Chicago","","Thursday","12:00","America/Chicago","60","1st & 3rd Thursday","online","English","https://us06web.zoom.us/j/81957302226?pwd=SnpyYXoxTkpuMmthUTVRTm1aejhmQT09","","","Online attendance allowed; free guest visits","","","general","PRACTICE","","Area C33. Currently meeting online only; hybrid option available.","https://www.toastmasters.org/find-a-club/00003559-chicagotoastmasters","true","2026-09-25","official","United States"
"san-francisco-toastmasters-ca","San Francisco Toastmasters","00001771","","United States","San Francisco","http://www.sf-toastmasters.org/","Wednesday","18:15","America/Los_Angeles","60","weekly","hybrid","English","","","","","","","general","PRACTICE","","Area B23. Meetings alternate between online and in-person; confirm which format for a given week before attending virtually.","https://www.toastmasters.org/Find-a-Club/1771-san-francisco-toastmasters","true","2026-09-25","official","United States"
"downtown-la-toastmasters-ca","Downtown L.A. Toastmasters","00000616","","United States","Los Angeles","","Wednesday","12:00","America/Los_Angeles","60","weekly","hybrid","English","","","","","","","general","PRACTICE","","Area B03.","https://www.toastmasters.org/Find-a-Club/616-downtown-l-a-toastmasters","true","2026-09-25","official","United States"
"downtown-speakeasy-denver-co","Downtown Speakeasy Club","00007312","","United States","Denver","https://downtownspeakeasy.org","Wednesday","12:30","America/Denver","60","weekly","hybrid","English","","","","","","","general","PRACTICE","","Area D03.","https://www.toastmasters.org/Find-a-Club/00007312-downtown-speakeasy-club","true","2026-09-25","official","United States"
"storytellers-toastmasters-nv","Storytellers Toastmasters Club","06633880","D203","United States","Las Vegas","https://lvstorytellers.toastmastersclubs.org","Saturday","10:00","America/Los_Angeles","60","weekly","online","English","","","","Online attendance permitted; Zoom link available upon request","","","storytelling","STORYTELLING","","Area E01.","https://www.toastmasters.org/Find-a-Club/06633880-06633880","true","2026-09-25","official","United States"
"gopher-toastmasters-mn","Gopher Toastmasters Club","00000183","","United States","Minneapolis","https://meetup.com/gopher-toastmasters-club-183","Tuesday","18:00","America/Chicago","60","1st & 3rd Tuesday","hybrid","English","","","","Free guest visits, contact club for Zoom link","","","general","PRACTICE","","Area D31.","https://www.toastmasters.org/Find-a-Club/00000183-00000183","true","2026-09-25","official","United States"
"ion-group-americas-ny","ION Group Americas Toastmasters Club","07580325","D46","United States","New York","","Tuesday","12:00","America/New_York","60","2nd Tuesday (monthly)","online","English","","","","May have professional/educational prerequisites; contact club","","","professional","PROFESSIONAL","","Area B23. NOTE: online sessions use Microsoft Teams, not Zoom. Corporate-affiliated club (ION Group).","https://www.toastmasters.org/find-a-club/7580325-7580325","true","2026-09-25","official","United States"
"ai-advantage-advanced","AI Advantage Advanced Toastmasters","","","United States","Online","https://ai.toastmost.org","Thursday","20:00","America/New_York","60","weekly","online","English","","","","","","","advanced","ADVANCED","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"am-lockport","AM Lockport Toastmasters","","","United States","Lockport, NY","https://amlockporttm.org","Thursday","07:00","America/New_York","60","weekly","online","English","","","","","","","general","PRACTICE","","Early-morning club. toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"advanced-orators","Advanced Orators Toastmasters Club","","","United States","Online","https://aotm.toastmastersclubs.org","Monday","19:00","America/New_York","60","weekly","online","English","","","","","","","advanced","ADVANCED","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"audible-talkers","Audible Talkers","","","United States","Online","","Monday","18:00","America/Phoenix","60","1st & 3rd Monday","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"broadly-speaking","Broadly Speaking Toastmasters Club","","","United States","Online","https://broadlyspeakingglobal.toastmastersclubs.org/","Saturday","09:30","America/Chicago","60","weekly","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"crest-981","Crest Toastmasters Club #981","","","United States","Online","https://crest.toastmastersclubs.org/","Saturday","08:30","America/Chicago","60","1st Saturday","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"dungeons-and-toast","Dungeons & Toast","","","United States","Online","https://dungeonsandtoast.com","Friday","19:00","America/Los_Angeles","60","weekly","online","English","","","","","","","humor/tabletop-gaming themed","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"dynamically-speaking","Dynamically Speaking Toastmasters","","","United States","Online","https://dynamicallyspeakingtoastmasters.toastmastersclubs.org/","Thursday","06:58","America/Denver","60","weekly","online","English","","","","","","","general","PRACTICE","","Early-morning club. toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"epic-horizons","Epic Horizons Toastmasters","","","United States","Online","https://epichorizons.toastmastersclubs.org/","Friday","12:00","America/Chicago","60","weekly","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"find-your-funny","Find Your Funny","","","United States","Online","https://findyourfunny.toastmastersclubs.org/","Sunday","18:30","America/New_York","60","2nd & 4th Sunday","online","English","","","","","","","humor","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"flying-toasters","Flying Toasters","","","United States","Online","https://8617.toastmastersclubs.org","Thursday","12:00","America/Los_Angeles","60","weekly","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"global-yoga-voices","Global Yoga Voices","","","United States","Online","https://globalyogavoices.toastmastersclubs.org/","Sunday","12:00","America/New_York","60","1st & 3rd Sunday","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"hear-me-roar","Hear Me Roar (HeR) Toastmasters Club","","","United States","Online","https://her.toastmastersclubs.org/","Thursday","12:00","America/New_York","60","1st & 3rd Thursday","online","English","","","","","","","women's empowerment","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"hi-noon","Hi Noon Toastmasters","","","United States","Online","https://hinoon.toastmastersclubs.org/","Wednesday","12:00","America/Los_Angeles","60","weekly","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"hi-noon-huntsville","Hi-Noon Toastmasters Club","","","United States","Huntsville, AL","https://hinoonhsv.toastmastersclubs.org/","Tuesday","12:00","America/Chicago","60","weekly","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"holistic-harmony","Holistic Harmony Toastmasters","","","United States","Online","https://holisticharmonytoastmasters.blog/","Tuesday","08:30","America/Los_Angeles","60","weekly","online","English","","","","","","","wellness","PRACTICE","","Early-morning club. toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"maverick-advanced","Maverick Advanced Toastmasters Online","","","United States","Online","https://mato.toastmastersclubs.org/","Monday","20:00","America/New_York","60","2nd Monday","online","English","","","","","","","advanced","ADVANCED","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"metrowest","Metrowest Toastmasters","","","United States","Metrowest, MA (area)","https://mwtm.toastmastersclubs.org","Thursday","19:00","America/New_York","60","2nd & 4th Thursday","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"north-tustin","North Tustin Sensational Speakers","","","United States","Tustin, CA","https://417.toastmastersclubs.org/","Wednesday","07:00","America/Los_Angeles","60","weekly","online","English","","","","","","","general","PRACTICE","","Early-morning club. toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"northern-neck","Northern Neck Toastmasters Club","","","United States","Northern Neck region, VA","https://northernnecktoastmasters.toastmastersclubs.org/","Monday","19:00","America/New_York","60","1st & 3rd Monday","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"online-presenters","Online Presenters Toastmasters","","","United States","Online","https://op.toastmost.org","Monday","19:45","America/New_York","60","weekly","online","English","","","","","","","advanced / online presentation skills","ADVANCED","","District U (undistricted); worldwide membership, US Eastern-time meeting. toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"podmasters-advanced","Podmasters Advanced Toastmasters","","","United States","Online","https://podmastersadvanced.toastmost.org","Sunday","19:00","America/New_York","60","weekly","online","English","","","","","","","advanced","ADVANCED","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"portland-progressives","Portland Progressives Toastmasters","","","United States","Portland, OR","https://progressivestoastmasters.org/","Thursday","18:30","America/Los_Angeles","60","weekly","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"portland-toastmasters","Portland Toastmasters","","","United States","Portland, OR","https://portlandtoastmasters.org/","Monday","18:00","America/Los_Angeles","60","weekly","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"praxis","Praxis Toastmasters","","","United States","Online","https://6718103.toastmastersclubs.org","Wednesday","07:00","America/Chicago","60","weekly","online","English","","","","","","","general","PRACTICE","","Early-morning club. toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"readership","Readership Toastmasters","","","United States","Online","https://readership.toastmastersclubs.org/","Tuesday","18:30","America/Chicago","60","weekly","online","English","","","","","","","book club themed","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"reveilliers","Reveilliers","","","United States","Online","https://reveilliers.org","Monday","07:00","America/Los_Angeles","60","weekly","online","English","","","","","","","general","PRACTICE","","Early-morning club. toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"saturday-brunch-bunch","Saturday Brunch Bunch","","","United States","Online","https://sbbtm31.toastmastersclubs.org/","Saturday","09:30","America/New_York","60","2nd & 4th Saturday","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"securely-speaking","Securely Speaking","","","United States","Online","https://www.meetup.com/securely-speaking/","Tuesday","12:00","America/Los_Angeles","60","weekly","online","English","","","","","","","cybersecurity professionals","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"silver-and-wiser","Silver & Wiser Toastmasters","","","United States","Online","https://777940.toastmastersclubs.org/","Monday","13:00","America/New_York","60","weekly","online","English","","","","","","","seniors","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"sunrise-greensboro-nc","Sunrise Toastmasters, Greensboro NC","","","United States","Greensboro, NC","https://greensborotoastmasters.org/","Friday","07:00","America/New_York","60","weekly","online","English","","","","","","","general","PRACTICE","","Early-morning club. toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"travel-talkers","Travel Talkers Toastmasters","","","United States","Online","https://traveltalkers.blog/","Thursday","18:30","America/Los_Angeles","60","weekly","online","English","","","","","","","travel themed","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"u-converse-masterfully","U Converse Masterfully","","","United States","Online","https://ucm.toastmastersclubs.org/","Thursday","19:00","America/New_York","60","2nd & 4th Thursday","online","English","","","","","","","general","PRACTICE","","Listed by source as hybrid. toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"unified-toastmasters","Unified Toastmasters","","","United States","Online","https://2931.toastmastersclubs.org","Tuesday","19:00","America/Los_Angeles","60","1st & 3rd Tuesday","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"upgrade-virtually","Upgrade Virtually Toastmasters","","","United States","Online","https://upgradevirtually.toastmastersclubs.org/","Tuesday","19:00","America/Chicago","60","1st & 3rd Tuesday","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"ventura-toastmasters","Ventura Toastmasters","","","United States","Ventura, CA","https://venturatoastmasters.toastmastersclubs.org","Monday","18:30","America/Los_Angeles","60","weekly","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"virtual-professional-speakers","Virtual Professional Speakers","","","United States","Online","https://virtualprofessionalspeakers.toastmastersclubs.org/","Thursday","18:30","America/Chicago","60","1st & 3rd Thursday","online","English","","","","","","","professional speakers","PROFESSIONAL","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"west-michigan-advanced","West Michigan Advanced Toastmasters","","","United States","West Michigan (Grand Rapids area)","https://wmat.toastmost.org","Monday","18:00","America/New_York","60","2nd Monday","online","English","","","","","","","advanced","ADVANCED","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"worlds-of-wonder","Worlds of Wonder","","","United States","Online","https://wowtm.toastmastersclubs.org","Saturday","14:00","America/Los_Angeles","60","weekly","online","English","","","","","","","general","PRACTICE","","toastmost.org Online Toastmasters Club Directory (aggregator; day/time as shown, cross-linked to club's own site); club's own toastmastersclubs.org page could not be directly fetched in this session","https://toastmost.org/online-clubs-directory/","true","2026-09-25","aggregator","United States"
"san-juan-tm","San Juan Toastmasters","06786550","","Puerto Rico (US territory)","San Juan","https://www.toastmasters.org/Find-a-Club/06786550-san-juan-toastmasters","Monday","19:00","America/Puerto_Rico","","1st & 3rd Monday","hybrid","Spanish","","","","Open to all interested parties; free guest visits","","","general","PRACTICE","","Meets at PR Science, Technology and Research Trust, Room T1; online attendance permitted. Fills early-evening ET gap for bilingual PR members.","https://www.toastmasters.org/Find-a-Club/06786550-san-juan-toastmasters","true","2026-09-25","official","Americas / Europe / Africa / Middle East"
"pr-toastmasters-club","Puerto Rico Toastmasters Club","01279661","","Puerto Rico (US territory)","San Juan","https://www.toastmasters.org/find-a-club/01279661-puerto-rico-toastmasters-club","Wednesday","18:45","America/Puerto_Rico","135","1st & 3rd Wednesday","hybrid","","","","","Online attendance is allowed","","","general","PRACTICE","","Meets at PR Science, Technology & Research Trust. Language not stated on page (likely bilingual/Spanish).","https://www.toastmasters.org/find-a-club/01279661-puerto-rico-toastmasters-club","true","2026-09-25","official","Americas / Europe / Africa / Middle East"
"pr-elite-advanced-speakers","Elite Advanced Speakers","02223990","","Puerto Rico (US territory)","San Juan","https://www.toastmasters.org/Find-a-Club/02223990-eliteadvancedspeakers","Wednesday","19:00","America/Puerto_Rico","","Last Wednesday of month (monthly)","hybrid","","","","","Online attendance is allowed; may have professional/educational prerequisites","","","advanced","ADVANCED","","Advanced-speakers club at PR Science Trust (Antiguo Oso Blanco), San Juan.","https://www.toastmasters.org/Find-a-Club/02223990-eliteadvancedspeakers","true","2026-09-25","official","Americas / Europe / Africa / Middle East"
"madrid-advanced-speakers","Madrid Advanced Speakers","05589363","D107","Spain","Madrid","https://www.toastmasters.org/Find-a-Club/05589363-madrid-advanced-speakers","Saturday","11:30","Europe/Madrid","","weekly","hybrid","English","","","","Open to all interested parties; contact club in advance","","","advanced","ADVANCED","","Venue: AIL, Avenida Ciudad de Barcelona 120-122, Madrid; online attendance allowed.","https://www.toastmasters.org/Find-a-Club/05589363-madrid-advanced-speakers","true","2026-09-25","official","Americas / Europe / Africa / Middle East"
