id,organization,type,city,county,website,audience,audienceSize,meetingFrequency,meetingDetails,typicalSpeakers,contactName,email,phone,applicationPage,speakingRequirements,paid,speechFit,whyFit,ladderLevel,notes,source,lastVerified
"opp-015","Fort Pierce Sunrise Kiwanis Club","Kiwanis","Fort Pierce","St. Lucie","https://fpsunrisekiwanis.com/","Fort Pierce civic community","","Weekly","","Local civic and school leaders","","","","https://fpsunrisekiwanis.com/join-us/","","unpaid","The Missing Piece; Money: What's Missing?","Active Kiwanis club with published member/join pages for outreach.","3","","https://fpsunrisekiwanis.com/","2026-09-25"
"opp-016","Kiwanis Club of Stuart","Kiwanis","Stuart","Martin","https://www.facebook.com/KiwanisClubofStuart/","Stuart civic community","","Weekly","","Local civic leaders","","","","https://www.facebook.com/KiwanisClubofStuart/","","unpaid","The Missing Piece","Civic club likely open to a purpose/leadership guest speaker.","3","No independent website found; Facebook page is primary public presence.","https://www.facebook.com/KiwanisClubofStuart/","2026-09-25"
"opp-017","Vero Beach Lions Club","Lions","Vero Beach","Indian River","https://e-clubhouse.org/sites/vero_beach/index.php","Vero Beach civic community","","Monthly/Bi-weekly (varies)","","Community and nonprofit leaders","","","","https://e-clubhouse.org/sites/vero_beach/index.php","","unpaid","The Missing Piece; Aging in Place","Service-focused Lions club fits a volunteer/community-service narrative.","3","","https://e-clubhouse.org/sites/vero_beach/index.php","2026-09-25"
"opp-018","Fort Pierce Lions Club","Lions","Fort Pierce","St. Lucie","https://e-clubhouse.org/sites/ftpierce/","Fort Pierce civic community","","","","Community leaders","","","","https://e-clubhouse.org/sites/ftpierce/","","unpaid","The Missing Piece","Long-running St. Lucie service club that regularly hears community speakers.","3","","https://e-clubhouse.org/sites/ftpierce/","2026-09-25"
"opp-019","Port St. Lucie West Lions Club","Lions","Port St. Lucie","St. Lucie","https://e-clubhouse.org/sites/portstluciewest/index.php","Port St. Lucie West civic community","","","","Community leaders","","","","https://e-clubhouse.org/sites/portstluciewest/index.php","","unpaid","The Missing Piece","Community service club open to guest speakers on service and purpose.","3","","https://e-clubhouse.org/sites/portstluciewest/index.php","2026-09-25"
"opp-020","Port St. Lucie Downtown Lions Club","Lions","Port St. Lucie","St. Lucie","https://psldowntownlions.org/","Port St. Lucie civic community","","","","Community leaders","","","","https://psldowntownlions.org/","","unpaid","The Missing Piece","Active downtown Lions club with its own website for outreach.","3","","https://psldowntownlions.org/","2026-09-25"
"opp-021","Exchange Club of Indian River","Association","Vero Beach","Indian River","https://exchangeclubindianriver.org/","Vero Beach service-club members","","","","Community leaders and nonprofits","","","","https://exchangeclubindianriver.org/","","unpaid","The Missing Piece","America's Service Club chapter focused on child abuse prevention/community; open to purpose-driven speakers.","5","","https://exchangeclubindianriver.org/","2026-09-25"
"opp-022","Indian River County Chamber of Commerce","Chamber","Vero Beach","Indian River","https://www.indianriverchamber.com/","County-wide business community","","Regular events (varies)","","Local business leaders, officials","","","","https://business.indianriverchamber.com/events/calendar","","unpaid","Money: What's Missing?; Building a Trade Business; Hurricane Hardening","Primary business chamber for Josias's home county; general contractor topics fit member interests directly.","5","Runs a published event calendar and Young Professionals Network (YPN).","https://business.indianriverchamber.com/events/calendar","2026-09-25"
"opp-023","YPN Young Professionals Network (Indian River County Chamber)","Networking","Vero Beach","Indian River","https://www.indianriverchamber.com/ypn-young-professionals-network/","Young/emerging professionals","","Monthly","","Local entrepreneurs and professionals","","","","https://www.indianriverchamber.com/ypn-young-professionals-network/","","unpaid","Money: What's Missing?; The Missing Piece","Young professionals audience is a strong match for an entrepreneurship/mindset talk from a self-made contractor.","4","","https://www.indianriverchamber.com/ypn-young-professionals-network/","2026-09-25"
"opp-024","Sebastian River Area Chamber of Commerce","Chamber","Sebastian","Indian River","https://www.sebastianchamber.com/","Sebastian-area business community","","Monthly Speaker Series Luncheon","Monthly luncheon (published as 'Speaker Series Luncheon')","Local business and civic speakers","","","","https://business.sebastianchamber.com/chamber-calendar","","unpaid","Money: What's Missing?; Building a Trade Business; Hurricane Hardening","Chamber runs a named 'Speaker Series Luncheon' -- a direct booking opportunity for a business/mindset talk.","5","Found an 'August Speaker Series Luncheon' listing confirming a recurring speaker program.","https://business.sebastianchamber.com/community-calendar/Details/august-speaker-series-luncheon-1679278","2026-09-25"
"opp-025","Vero Beach Chamber of Commerce","Chamber","Vero Beach","Indian River","https://www.verochamber.com/","Vero Beach business community","","","","","","","","https://www.verochamber.com/","","unpaid","Money: What's Missing?; Building a Trade Business","Additional Vero Beach business chamber for entrepreneurship-focused programming.","5","Distinct listing from the Indian River County Chamber found in search results; verify before duplicate outreach.","https://www.verochamber.com/","2026-09-25"
"opp-026","Stuart/Martin County Chamber of Commerce","Chamber","Stuart","Martin","https://business.stuartmartinchamber.org/","Martin County business community","","Regular events (varies)","","Local business and civic leaders","","","","https://business.stuartmartinchamber.org/events/calendar","","unpaid","Money: What's Missing?; Hurricane Hardening; Condo Milestone & SIRS","Coastal Martin County chamber audience with strong condo and hurricane-hardening interest.","5","","https://business.stuartmartinchamber.org/events/calendar","2026-09-25"
"opp-027","St. Lucie County Chamber of Commerce","Chamber","Fort Pierce","St. Lucie","https://stluciechamber.org/","St. Lucie County business community","","Regular events (varies)","","Local business leaders","","","","https://stluciechamber.org/events-list/","","unpaid","Money: What's Missing?; Building a Trade Business","County-wide chamber serving Fort Pierce and Port St. Lucie business community.","5","","https://stluciechamber.org/events-list/","2026-09-25"
"opp-028","Port St. Lucie Business Club","Networking","Port St. Lucie","St. Lucie","https://pslbusinessclub.com/","Local business owners/networkers","","","","Local business owners","","","","https://pslbusinessclub.com/","","unpaid","Money: What's Missing?; Building a Trade Business","Independent business networking club well suited to an entrepreneurship talk.","4","","https://pslbusinessclub.com/","2026-09-25"
"opp-029","Melbourne Regional / Space Coast Chamber","Chamber","Melbourne","Brevard","https://www.melbourneregionalchamber.com/","Melbourne-area business community","","Regular events (varies)","","Local business leaders","","","","https://members.melbourneregionalchamber.com/community-events","","unpaid","Money: What's Missing?; Building a Trade Business","Outer-ring chamber for expanding beyond the Treasure Coast core.","5","Site now branded 'Space Coast Chamber'.","https://www.melbourneregionalchamber.com/","2026-09-25"
"opp-030","Palm Beach North Chamber of Commerce","Chamber","Jupiter","Palm Beach","https://www.pbnchamber.com/","Jupiter/Tequesta/North Palm Beach business community","","Regular events (varies)","","Local business leaders","","","","https://www.pbnchamber.com/chamber-events-overview/","","unpaid","Money: What's Missing?; Hurricane Hardening","Coastal Palm Beach County chamber with hurricane-hardening relevance for outer-ring outreach.","5","","https://www.pbnchamber.com/chamber-events-overview/","2026-09-25"
"opp-031","Greater Palm Bay Chamber of Commerce","Chamber","Palm Bay","Brevard","https://new.greaterpalmbaychamber.com/","Palm Bay business community","","","","","","","","https://new.greaterpalmbaychamber.com/","","unpaid","Money: What's Missing?; Building a Trade Business","Outer-ring chamber serving a fast-growing construction market.","5","","https://new.greaterpalmbaychamber.com/","2026-09-25"
"opp-032","Power Partners of Indian River County (BNI)","BNI","Vero Beach","Indian River","https://www.facebook.com/PowerPartnersIRC/","Referral-based business owners","","Weekly","","Member spotlight/guest business speakers","","","","https://www.facebook.com/PowerPartnersIRC/","","unpaid","Money: What's Missing?; Building a Trade Business","Local BNI-style referral chapter fits a trade-business-building talk well.","4","No independent chapter website found; identified via Facebook page.","https://www.facebook.com/PowerPartnersIRC/","2026-09-25"
"opp-033","Vero Beach Professional Networking Meetup Group","Networking","Vero Beach","Indian River","https://www.meetup.com/vero-beach-professional-networking-meetup-group/","Local professionals/entrepreneurs","","","","Local business owners","","","","https://www.meetup.com/vero-beach-professional-networking-meetup-group/","","unpaid","Money: What's Missing?; Building a Trade Business","Meetup-based networking group open to guest talks on entrepreneurship.","4","","https://www.meetup.com/vero-beach-professional-networking-meetup-group/","2026-09-25"
"opp-034","SCORE Treasure Coast","Nonprofit","Fort Pierce","St. Lucie","https://www.score.org/treasurecoast","Small-business owners & aspiring entrepreneurs","","Regular workshops (varies)","","Mentors, business experts","","","","https://www.score.org/treasurecoast/local-workshops","","unknown","Money: What's Missing?; Building a Trade Business","SCORE's small-business workshop audience is a direct match for a trade-business-building and entrepreneurship-mindset talk.","2","Publishes a local-workshops calendar; a strong strategic target.","https://www.score.org/treasurecoast/local-workshops","2026-09-25"
"opp-035","CAI Southeast Florida Chapter (Community Associations Institute)","Association","West Palm Beach","Palm Beach","https://cai-seflorida.org/","Condo/HOA board members & managers","","Regular chapter events (varies)","","Industry experts, attorneys, engineers, contractors","","","","https://cai-seflorida.org/","","unknown","Condo Milestone & SIRS; Hurricane Hardening","CAI chapter educational programs are exactly the audience for milestone/SIRS and hardening expertise.","5","Serves southeast Florida condo/HOA professionals; may extend coverage toward Martin/Palm Beach counties.","https://cai-seflorida.org/","2026-09-25"
"opp-036","CAI Gold Coast Chapter (Community Associations Institute)","Association","Fort Lauderdale","Broward","https://cai-goldcoast.org/","Condo/HOA board members & managers","","Regular chapter events (varies)","","Industry experts, contractors, attorneys","","","","https://cai-goldcoast.org/","","unknown","Condo Milestone & SIRS; Hurricane Hardening","A neighboring CAI chapter with condo-board educational programming relevant to milestone/SIRS expertise.","5","Included for its condo-board education programs; confirm exact county coverage before pitching.","https://cai-goldcoast.org/","2026-09-25"
"opp-037","Treasure Coast Builders Association","Association","Port St. Lucie","St. Lucie","https://www.treasurecoastba.com/","Homebuilders, contractors, trade professionals","","Monthly","","Industry leaders, code officials, trade experts","","","","https://www.treasurecoastba.com/monthly-meetings/","","unknown","Building a Trade Business; Hurricane Hardening; Condo Milestone & SIRS","Builders-association members are Josias's direct industry peers -- ideal for the trade-business and hardening/grant talks.","5","Publishes a Monthly Meetings page and full event calendar; covers the Treasure Coast including Indian River County builders.","https://www.treasurecoastba.com/monthly-meetings/","2026-09-25"
"opp-038","Realtors Association of Indian River County (RAIRC)","Association","Vero Beach","Indian River","https://rairc.com/","Real estate agents and brokers","","","","Industry experts, inspectors, lenders","","","","https://rairc.com/","","unknown","Condo Milestone & SIRS; Hurricane Hardening; Aging in Place","Realtors need up-to-date knowledge on milestone inspections and hurricane hardening to advise clients/buyers.","5","","https://rairc.com/our-members/","2026-09-25"
"opp-039","Indian River State College - Fielden Institute for Lifelong Learning (Distinguished Lecture Series)","Education","Fort Pierce","St. Lucie","https://irsc.edu/","Community members, lifelong learners","","Series (seasonal)","","Distinguished/expert lecturers","","","","https://events.irsc.edu/","","unknown","The Missing Piece; Building a Trade Business","IRSC's lifelong-learning lecture series regularly features community and expert speakers on personal/professional development.","6","Has run a published annual Distinguished Lecture Series; also hosts general Lunch & Learn events.","https://irsc.edu/news/articles/2023-2024-distinguished-lecture-series.html","2026-09-25"
"opp-040","Indian River County Library System (Main Library)","Library","Vero Beach","Indian River","https://www.indianriver.gov/services/library/","General public","","Ongoing programs (varies)","","Community experts, authors","","","","https://www.indianriver.gov/services/library/","","unpaid","The Missing Piece; Aging in Place; Hurricane Hardening","Public library adult programming is a natural home for a hurricane-hardening or aging-in-place community talk.","2","","https://www.indianriver.gov/services/library/","2026-09-25"
"opp-041","St. Lucie County Library System","Library","Fort Pierce","St. Lucie","https://www.stlucieco.gov/departments-and-services/library","General public","","Ongoing adult programs (varies)","","Community experts","","","","https://www.stlucieco.gov/departments-and-services/library/library-calendar","","unpaid","The Missing Piece; Aging in Place; Hurricane Hardening","Publishes free monthly adult-learning programs -- an established venue type for community expertise talks.","2","News releases confirm a recurring free adult-programs series.","https://www.stlucieco.gov/Home/Components/News/News/11189/2796","2026-09-25"
"opp-042","Martin County Library System","Library","Stuart","Martin","https://www.martin.fl.us/Libraries","General public","","Ongoing programs (varies)","","Community experts","","","","https://www.martin.fl.us/events-classes-clubs","","unpaid","The Missing Piece; Aging in Place; Hurricane Hardening","County library system with a published events/classes/clubs calendar suited to community-education talks.","2","","https://www.martin.fl.us/events-classes-clubs","2026-09-25"
"opp-043","TEDxVeroBeach","Conference","Vero Beach","Indian River","https://tedxvero.com/","Curated ticketed audience","","Annual","","Curated TEDx-style speakers on ideas worth spreading","","","","https://tedxvero.com/news/","Application/curation process typical of TEDx events","unknown","The Missing Piece","High-visibility keynote-style stage; Josias's personal reinvention story (cabinet maker to contractor/community volunteer) fits a TEDx narrative arc.","8","Independently licensed TEDx event registered with TED; competitive speaker selection.","https://www.ted.com/tedx/events/33173","2026-09-25"
"opp-044","TEDxPortSaintLucie","Conference","Port St. Lucie","St. Lucie","https://www.facebook.com/TEDxPortSaintLucie/","Curated ticketed audience","","Event-based","","Curated TEDx-style speakers","","","","https://www.facebook.com/TEDxPortSaintLucie/","Application/curation process typical of TEDx events","unknown","The Missing Piece","Emerging Treasure Coast TEDx event -- a stretch target for the leadership/purpose talk.","8","Newer/independently organized event; confirm current organizing status before pitching.","https://www.facebook.com/TEDxPortSaintLucie/","2026-09-25"
"opp-045","WQCS 88.9 FM (NPR for the Treasure Coast, IRSC)","Media","Fort Pierce","St. Lucie","https://www.wqcs.org/","Treasure Coast radio listeners","","","","Local guests on public-affairs programming","","","","https://www.wqcs.org/about-us","","unpaid","Hurricane Hardening; Money: What's Missing?","IRSC-owned public radio station covers local business and hurricane-preparedness topics -- a fit for an on-air interview.","6","Correct value should be 'unpaid'; media interviews on NPR affiliate typically unpaid guest slots.","https://www.wqcs.org/about-us","2026-09-25"
"opp-046","Senior Resource Association","Senior","Vero Beach","Indian River","https://www.seniorresourceassociation.org/","Seniors and caregivers","","","","Health, safety, and resource experts","","","","https://www.seniorresourceassociation.org/contact-us/","","unknown","Aging in Place","Direct-service senior nonprofit whose clients are the core audience for aging-in-place remodeling education.","2","","https://www.seniorresourceassociation.org/","2026-09-25"
"opp-047","Indian River Estates (Acts Retirement Community)","Senior","Vero Beach","Indian River","https://www.actsretirement.org/communities/florida/indian-river-estates-vero-beach/","Independent/assisted-living residents","","","","Community programming/enrichment speakers","","","","https://www.actsretirement.org/communities/florida/indian-river-estates-vero-beach/resources/","","unknown","Aging in Place; Hurricane Hardening","Large CCRC campus with in-house resident enrichment programming (Emerson Center) fits aging-in-place topics.","2","Has a published 'Emerson Center Program' resource page suggesting a resident programming calendar.","https://www.aboutacts.com/general-advertising-landing-pages/indian-river-estates-emerson-center-program/","2026-09-25"
"opp-048","Indian River Neighborhood Association (IRNA)","Civic","Vero Beach","Indian River","https://www.indianriverna.com/","County residents/civic activists","","","","County officials and community advocates","","","","https://www.indianriverna.com/general-4","","unpaid","The Missing Piece; Hurricane Hardening","Civic activist group with a published Activities page open to community-interest speakers.","2","","https://www.indianriverna.com/general-4","2026-09-25"
"opp-049","American Legion Post 39","Civic","Vero Beach","Indian River","https://www.facebook.com/Americanlegionpost39verobeachfloridaofficialpage/","Veterans and community members","","","","Veterans affairs and community speakers","","","","https://centennial.legion.org/florida/post39","","unpaid","The Missing Piece","Veteran-community post open to volunteer/leadership-oriented guest speakers.","2","","https://centennial.legion.org/florida/post39","2026-09-25"
"opp-050","American Legion Post 189","Civic","Sebastian","Indian River","https://verobeach.com/vero-beach-community/american-legion-post-189","Veterans and community members","","","","Veterans affairs and community speakers","","","","https://verobeach.com/vero-beach-community/american-legion-post-189","","unpaid","The Missing Piece","Sebastian-area veteran post active in local community life.","2","","https://verobeach.com/vero-beach-community/american-legion-post-189","2026-09-25"
"opp-051","Vero Beach Elks Lodge #1774","Civic","Vero Beach","Indian River","https://veroelks.com/","Lodge members and community","","","","Community leaders","","","","https://veroelks.com/","","unpaid","The Missing Piece","Fraternal/civic lodge that hosts community events and could host a volunteer-service speaker.","2","","https://veroelks.com/","2026-09-25"
"opp-052","Vero Beach Toastmasters Club","Civic","Vero Beach","Indian River","https://6731.toastmastersclubs.org/","Public-speaking practitioners","","Weekly/Bi-weekly (typical Toastmasters cadence)","","Member speeches; occasional outside guest evaluators/speakers","","","","https://6731.toastmastersclubs.org/","Guest visits are generally open to the public","unpaid","The Missing Piece","Bilingual, community-minded speaker fits well as a guest/visitor sharing his personal story at a Toastmasters meeting.","2","Best used as a practice/visibility stop rather than a lead-generating booking.","https://6731.toastmastersclubs.org/","2026-09-25"
"opp-053","Beachsiders Toastmasters Club","Civic","Vero Beach","Indian River","https://beachsiders.toastmastersclubs.org/","Public-speaking practitioners","","Weekly/Bi-weekly (typical Toastmasters cadence)","","Member speeches; occasional outside guests","","","","https://beachsiders.toastmastersclubs.org/","Guest visits are generally open to the public","unpaid","The Missing Piece","Second local Toastmasters club for building speaking visibility in Vero Beach.","2","","https://beachsiders.toastmastersclubs.org/","2026-09-25"
"opp-054","First Baptist Church of Vero Beach","Church","Vero Beach","Indian River","https://www.fbcvero.org/","Congregation and men's ministry","","","","Guest speakers at ministry events","","","","https://www.fbcvero.org/church-calendar/","","unpaid","The Missing Piece","Large Vero Beach congregation with an active events calendar and spiritual-direction ministry receptive to a faith-and-purpose story.","2","","https://www.fbcvero.org/church-calendar/","2026-09-25"
"opp-055","Cornerstone Christian Church - Men's Breakfast","Church","Vero Beach","Indian River","https://www.ccvero.org/events/bob-evans/","Men's ministry group","","","","Guest speakers at men's breakfast events","","","","https://www.ccvero.org/events/bob-evans/","","unpaid","The Missing Piece","Men's breakfast format is a strong cultural fit for Josias's leadership/purpose talk and volunteer testimony.","2","","https://www.ccvero.org/events/bob-evans/","2026-09-25"
"opp-056","Vero Beach Prayer Breakfast","Church","Vero Beach","Indian River","https://verobeachprayerbreakfast1.dudaone.com/","Faith-community civic leaders","","Annual","","Prominent faith/community keynote speakers","","","","https://verobeachprayerbreakfast1.dudaone.com/","","unknown","The Missing Piece","High-profile annual faith-community event; a stretch target given past nationally-known keynoters.","2","Has previously featured high-profile keynote speakers; a longer-shot, higher-ladder target.","https://verobeachprayerbreakfast1.dudaone.com/jonathan-cahn","2026-09-25"
"opp-057","Hispanic League","Nonprofit","Daytona Beach","Volusia","https://www.hispanicleague.org/","Hispanic community and allies","","","","Community and business leaders","","","","https://www.hispanicleague.org/","","unknown","Money: What's Missing?; The Missing Piece","Bilingual entrepreneur profile fits a Hispanic-community leadership/business org, though this chapter is outside the core Treasure Coast area.","2","Located in Volusia County (outside the requested geography); include only as an outer-ring/bilingual-audience lead to verify relevance.","https://www.hispanicleague.org/","2026-09-25"
"opp-058","Vero Beach Museum of Art - Lectures & Seminars","Nonprofit","Vero Beach","Indian River","https://www.vbmuseum.org/upcoming-events-lectures-seminars/","Arts patrons and community members","","Ongoing series (varies)","","Artists, historians, cultural experts","","","","https://www.vbmuseum.org/upcoming-events-lectures-seminars/","","unknown","The Missing Piece","Museum's lecture series is a possible venue for a craftsmanship/cabinet-making-to-contractor personal story.","2","Topic fit is a stretch; best suited to a personal/creative-journey framing rather than construction-trade content.","https://www.vbmuseum.org/upcoming-events-lectures-seminars/","2026-09-25"
"opp-059","Cultural Council of Indian River County","Nonprofit","Vero Beach","Indian River","https://www.cultural-council.org/classesworkshopslectures","Community members interested in arts/culture","","Ongoing (varies)","","Local instructors and speakers","","","","https://www.cultural-council.org/classesworkshopslectures","","unknown","The Missing Piece","Publishes a classes/workshops/lectures page that could host a craftsmanship-to-contractor personal journey talk.","2","","https://www.cultural-council.org/classesworkshopslectures","2026-09-25"
"opp-060","Literacy Services of Indian River County","Nonprofit","Vero Beach","Indian River","https://www.literacyservicesirc.org/","Adult learners, ESL students, volunteers","","","","Community and volunteer speakers","","","","https://www.literacyservicesirc.org/news--events/special-events/","","unpaid","The Missing Piece","Bilingual English/Spanish speaker with a personal immigrant-to-business-owner story fits this ESL/literacy nonprofit's mission and events.","2","","https://www.literacyservicesirc.org/news--events/special-events/","2026-09-25"
"opp-061","The East Coast Estate Planning Council","Association","West Palm Beach","Palm Beach","https://www.eastcoastepc.org/","Estate planning attorneys, CPAs, financial advisors","","Regular meetings (varies)","","Financial, legal and tax experts","","","","https://www.eastcoastepc.org/council/info","","unknown","Money: What's Missing?","Professional financial-planning audience fits the entrepreneurship/finance-mindset talk, though it is a competitive expert-speaker circuit.","5","Outer-ring, higher-bar professional association; best approached once Josias has more speaking credits.","https://www.eastcoastepc.org/council/info","2026-09-25"
"opp-062","Vero Beach Woman's Club","Civic","Vero Beach","Indian River","https://en.wikipedia.org/wiki/Vero_Beach_Woman%27s_Club","Civic-minded women's club members","","","","Community and civic speakers","","","","","","unpaid","The Missing Piece; Aging in Place","Historic civic women's club that hosts community-interest speakers, a good fit for a purpose/aging-in-place talk.","2","Historic organization (NRHP-listed clubhouse); confirm current program chair contact via the club directly.","https://en.wikipedia.org/wiki/Vero_Beach_Woman%27s_Club","2026-09-25"
"opp-063","Senior Collaborative of Indian River County","Nonprofit","Vero Beach","Indian River","https://www.guidestar.org/profile/shared/b4535df7-9571-417b-848a-b83a58b64086","Senior-services agencies and advocates","","","","Senior-services and aging experts","","","","","","unknown","Aging in Place","Coalition of senior-services organizations is a natural fit for an aging-in-place remodeling topic.","2","Identified via GuideStar profile only; no independent public website located.","https://www.guidestar.org/profile/shared/b4535df7-9571-417b-848a-b83a58b64086","2026-09-25"
"opp-064","Kiwanis Club of Fort Pierce","Kiwanis","Fort Pierce","St. Lucie","https://www.guidestar.org/profile/59-6151475","Fort Pierce civic community","","","","Local civic leaders","","","","","","unpaid","The Missing Piece","Second, separately chartered Fort Pierce Kiwanis club broadening reach within St. Lucie County.","3","No independent website located; identified via GuideStar/Kiwanis district listings.","https://k05.site.kiwanis.org/2025-2026-division-16/","2026-09-25"
"opp-065","St. Lucie West Lions Club","Lions","Port St. Lucie","St. Lucie","https://www.facebook.com/p/St-Lucie-West-Lions-Club-100064381824280/","St. Lucie West civic community","","","","Community leaders","","","","https://www.facebook.com/p/St-Lucie-West-Lions-Club-100064381824280/","","unpaid","The Missing Piece","Additional Port St. Lucie-area Lions club for expanded local outreach.","3","No independent website found; identified via Facebook page.","https://www.facebook.com/p/St-Lucie-West-Lions-Club-100064381824280/","2026-09-25"
